Group,Library,Barcode,Catalog.Number,Year.Collected,Precise.Locality
Group_1,Library_4,12,1606826,2019,"Stag Party East, east of Tennessee Reef, outer Hawk's Channel patch reefs, Middle Keys, Florida Keys"
Group_1,Library_4,13,1740336,2019,"Stag Party East, east of Tennessee Reef, outer Hawk's Channel patch reefs, Middle Keys, Florida Keys"
Group_1,Library_4,14,1740363,2019,"Eleven-Foot Mound, west of Tennessee Reef, outer Hawk's Channel patch reefs, Middle Keys, Florida Keys"
Group_2,Library_2,18,51861,1960,"Miami, Biscayne Bay, Soldier Key"
Group_2,Library_2,19,51892,1960,"Miami, Biscayne Bay, Soldier Key"
Group_2,Library_2,20,51732,1960,"St. George's Island, Fort St. Catherine"
Group_2,Library_3,24,51861,1960,"Miami, Biscayne Bay, Soldier Key"
Group_2,Library_3,25,51892,1960,"Miami, Biscayne Bay, Soldier Key"
Group_2,Library_3,26,51732,1960,"St. George's Island, Fort St. Catherine"
Group_4,Library_1,27,50368,1880,Curacao
Group_4,Library_1,28,42137,1898,Playa De Ponce Reef
Group_4,Library_1,29,14399,1886,"Little Bahama Bank, Grand Cay, North of"
Group_4,Library_2,30,50368,1880,Curacao
Group_4,Library_2,31,42137,1898,Playa De Ponce Reef
Group_4,Library_2,32,14399,1886,"Little Bahama Bank, Grand Cay, North of"